root_case_id,representation,expected_class,members,omitted_member,method,median_R_model_kcal_mol,decision,outcome,missing_members
a0a3f2yly8-pqq-la_model,core,La,a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-0|a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-2|a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-3,a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-4,composite,-405451.0657010818,inconclusive,inconclusive,
a0a3f2yly8-pqq-la_model,core,La,a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-0|a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-2|a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-3,a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-4,native,-405312.5473598975,La-supported,correct,
a0a3f2yly8-pqq-la_model,core,La,a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-0|a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-2|a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-4,a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-3,composite,-405444.26309885876,La-supported,correct,
a0a3f2yly8-pqq-la_model,core,La,a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-0|a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-2|a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-4,a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-3,native,-405307.13243520446,La-supported,correct,
a0a3f2yly8-pqq-la_model,core,La,a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-0|a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-3|a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-4,a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-2,composite,-405451.0657010818,inconclusive,inconclusive,
a0a3f2yly8-pqq-la_model,core,La,a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-0|a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-3|a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-4,a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-2,native,-405312.5473598975,La-supported,correct,
a0a3f2yly8-pqq-la_model,core,La,a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-2|a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-3|a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-4,a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-0,composite,-405444.26309885876,La-supported,correct,
a0a3f2yly8-pqq-la_model,core,La,a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-2|a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-3|a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-4,a0a3f2yly8-pqq-la_model__conditioned_La__seed-1_sample-0,native,-405307.13243520446,La-supported,correct,
a0acd6b9f2-pqq-la_model,core,La,a0acd6b9f2-pqq-la_model__conditioned_La__seed-1_sample-0|a0acd6b9f2-pqq-la_model__conditioned_La__seed-1_sample-1|a0acd6b9f2-pqq-la_model__conditioned_La__seed-1_sample-2,a0acd6b9f2-pqq-la_model__conditioned_La__seed-1_sample-4,composite,-405435.6825822929,La-supported,correct,
a0acd6b9f2-pqq-la_model,core,La,a0acd6b9f2-pqq-la_model__conditioned_La__seed-1_sample-0|a0acd6b9f2-pqq-la_model__conditioned_La__seed-1_sample-1|a0acd6b9f2-pqq-la_model__conditioned_La__seed-1_sample-2,a0acd6b9f2-pqq-la_model__conditioned_La__seed-1_sample-4,native,-405297.44266768784,La-supported,correct,
